formula,Ed
Ac1Ag1,-0.12315845472222198
Ac1Ag1Au2,-0.031469586249992
Ac1Ag1Hg2,0.012821992901
Ac1Ag1Te2,-0.17711064961466402
Ac1Ag2Cd1,-0.0028627504166680003
Ac1Ag2In1,-0.013241796666662002
Ac1Ag2Pb1,-0.10787447375
Ac1Ag2Sn1,-0.18283822027777705
Ac1Ag2Tl1,-0.060132818125000015
Ac1Ag2Yb1,-0.015559210355248999
Ac1Ag3,-0.07267153624999902
Ac1Al1Li2,0.031682170339505995
Ac1Al1O3,-0.107886225000059
Ac1Al3,-0.3629472316666661
Ac1Au2Bi1,-0.19773462430555505
Ac1Au2Ca1,-0.16676686736110902
Ac1Au2Cd1,-0.07447069791666701
Ac1Au2Eu1,-0.14152518798612398
Ac1Au2Hg1,-0.006033031666667001
Ac1Au2In1,-0.056452821666665
Ac1Au2Na1,-0.15146478638305702
Ac1Au2Pb1,-0.16824159558938198
Ac1Au2Sb1,-0.21173782680555606
Ac1Au2Sn1,-0.18248040300153895
Ac1Au2Sr1,-0.142591072361113
Ac1Au2Tl1,-0.116117976387473
Ac1Au2Yb1,-0.16419456736111102
Ac1Au2Zn1,0.0059312679166660005
Ac1Au3,-0.6506392495833321
Ac1B1O3,0.7930856006667011
Ac1Ba3,0.112659327083333
Ac1Br1O1,-0.210965794449382
Ac1Br3,-2.0569565775
Ac1Ca1Ga2,-0.040890593611111005
Ac1Ca1Hg2,-0.12415966777776899
Ac1Ca1In2,-0.06457037781250001
Ac1Ca1Mg2,-0.0023517129166680003
Ac1Ca1Rh2,-0.14977132916666602
Ac1Ca1Tl2,-0.157510505833332
Ac1Ca1Zn2,-0.042924986666666005
Ac1Ca3,0.06049050270833301
Ac1Cd1Hg2,-0.044836823749999005
Ac1Cd1Rh2,-0.263056719027778
Ac1Cd1Zn2,0.017325522916666003
Ac1Cd2La1,-0.012651064166665999
Ac1Cd2Mg1,-0.05780395083333401
Ac1Cd2Sr1,-0.069253361666666
Ac1Cd2Yb1,-0.064057326434202
Ac1Cd3,-0.254984662916666
Ac1Ce1Mg2,0.097318153787405
Ac1Ce3,0.14829535833333302
Ac1Cl1O1,-0.20307720722750106
Ac1Cl3,-2.83064319759
Ac1Cr1O3,-0.08843010650796601
Ac1Cs1,0.46837661606321795
Ac1Cs1Te2,-0.36799074427103207
Ac1Cs3,0.5381806136781611
Ac1Cu1F1O2,0.23922916047526305
Ac1Cu1O3,-0.13883760900009304
Ac1Cu3,-0.076615641666665
Ac1Dy3,0.061874810833333
Ac1Er3,0.07754138708333301
Ac1Eu1Mg2,0.013431842750583
Ac1Eu1Zn2,-0.026816505416677003
Ac1Eu3,0.055828915833332014
Ac1F1O1,-0.120607068889577
Ac1F3,-4.435178283809166
Ac1Fe1O3,-0.06477136984477
Ac1Ga1O3,-0.060185414000258
Ac1Ga1Te2,-0.184540459583333
Ac1Ga2Sr1,-0.008664559713541001
Ac1Ga2Yb1,-0.0031902429166690005
Ac1Ga3,-0.523185695416666
Ac1Ge3,-0.437347957916666
Ac1H2,-0.08004627296296299
Ac1H3,-0.15645605715499902
Ac1Hg1Rh2,-0.17847826527777702
Ac1Hg1Te2,-0.111220962499999
Ac1Hg2In1,-0.021873685
Ac1Hg2Li1,-0.074663743090986
Ac1Hg2Mg1,-0.134165460875339
Ac1Hg2Na1,-0.103338149019104
Ac1Hg2Sn1,-0.061432422499999015
Ac1Hg2Sr1,-0.114018417777793
Ac1Hg2Tl1,-0.105181039444444
Ac1Hg2Yb1,-0.10584807777777999
Ac1Hg3,-0.38705681749999904
Ac1I3,-1.472113086666666
Ac1In1Li2,-0.031046097916665998
Ac1In1Te2,-0.25933004499999696
Ac1In1Zn2,0.012465781666667002
Ac1In2Na1,0.0013389573437490002
Ac1In2Sr1,-0.056725245312495995
Ac1In3,-0.361355759305555
Ac1K1Te2,-0.47586457579007596
Ac1K3,0.43257015608333305
Ac1La1,0.06016250666666601
Ac1La1Mg2,0.017699827870297002
Ac1La3,0.030488620833332994
Ac1Li1O3,0.113291173874988
Ac1Li1Rh2,-0.247380552916666
Ac1Li1Te2,-0.3810342195833361
Ac1Li1Tl2,-0.15799619583333202
Ac1Li2Pb1,-0.015366578879295004
Ac1Li2Sn1,-0.03548900555554701
Ac1Li2Tl1,-0.003895425272697001
Ac1Li3,0.18228592583333303
Ac1Mg1,-0.03236461084282399
Ac1Mg149,-0.013244751533205002
Ac1Mg1O3,0.07980766687505701
Ac1Mg1Tl2,-0.163161623749998
Ac1Mg1Zn2,-0.043460216666665996
Ac1Mg2Nd1,0.027304072499999003
Ac1Mg2Pr1,0.022958102499998998
Ac1Mg2Yb1,0.003623681675052
Ac1Mg3,0.022752347499999003
Ac1Mg5,-0.032039700697642004
Ac1Mn1O3,-0.099434238688401
Ac1N1,-1.271051119523332
Ac1Na1,0.183871239166666
Ac1Na1Te2,-0.47248066833333396
Ac1Na1Tl2,-0.18208166335041298
Ac1Nb3,0.612987090833332
Ac1Nd3,0.021302342708333
Ac1Ni1O3,-0.097583820041105
Ac1O3Pd1,0.006452118500045001
Ac1O3Rb1,0.170510984499973
Ac1O3Sc1,0.024212545249904998
Ac1O3Si1,0.4701418309999511
Ac1O3Ti1,-0.08467342100389201
Ac1O3V1,-0.009291501409563
Ac1Pb1Rh2,-0.29383568333333304
Ac1Pd2Sn1,-0.21034375499999905
Ac1Pm3,0.027570802708333
Ac1Pr3,0.019969478333333
Ac1Rb1Te2,-0.43389430458334105
Ac1Rb3,0.5083016730747121
Ac1Rh2Tl1,-0.30061224333333403
Ac1Rh2Yb1,-0.119463705416666
Ac1Sc3,0.118710883333333
Ac1Se3,-1.059004143111979
Ac1Si3,-0.33699045458333204
Ac1Sm3,0.035371521458333
Ac1Sr1Tl2,-0.11510660249999902
Ac1Sr1Zn2,-0.036712559467651
Ac1Sr3,0.095050325833333
Ac1Tb3,0.055794953333333
Ac1Te2Tl1,-0.44941549944444303
Ac1Te3,-0.8717308991666658
Ac1Th3,0.103720564583333
Ac1Tl2Yb1,-0.13581662999597102
Ac1Y3,0.060903813333333015
Ac1Yb1Zn2,-0.024219121666666003
Ac1Yb3,0.046878253333333
Ac1Zn3,-0.239183369166666
Ac2Ag1Ir1,-0.23440959416666698
Ac2Ag1Pb1,-0.21330571105789103
Ac2Au1Ir1,-0.380567714027777
Ac2Au1Si1,-0.21735228772789605
Ac2Au1Zn1,-0.18937593805555306
Ac2Cd1Ga1,-0.08399730664209401
Ac2Cd1Ge1,-0.15900178167895102
Ac2Cd1Hg1,-0.112165435044598
Ac2Cd1Sn1,-0.19983137179429505
Ac2Cd1Tl1,-0.143728698472221
Ac2Cu1Ga1,-0.053182349305555994
Ac2Cu1Ge1,-0.17918689722222303
Ac2Cu1Ir1,-0.284287253611111
Ac2Cu1Ru1,-0.003957679861111001
Ac2Cu1Si1,-0.113792047222221
Ac2Cu1Sn1,-0.124711975945819
Ac2Ga1In1,-0.07219481520833401
Ac2Ga1Li1,-0.013498486180564002
Ac2Ga1Mg1,-0.018483949861108
Ac2Ga1Si1,-0.06851617513889201
Ac2Ga1Zn1,-0.086443645555556
Ac2Ge1Hg1,-0.213242868055555
Ac2Ge1Li1,-0.08359736731481099
Ac2Ge1Ni1,-0.14161802990740702
Ac2Ge1Pd1,-0.3841155776388901
Ac2Ge1Zn1,-0.17923044347222197
Ac2Hg1Si1,-0.130393365555556
Ac2Hg1Sn1,-0.184096986250001
Ac2Hg1Zn1,-0.119598243481249
Ac2In1Tl1,-0.156044732222221
Ac2In1Zn1,-0.08047837738360901
Ac2Ir1Li1,-0.157052325843818
Ac2Ir1Ni1,-0.31556779083333203
Ac2Ir1Pd1,-0.6132704158333331
Ac2Ir1Rh1,-0.485938221333029
Ac2Ir1Zn1,-0.27349473083333303
Ac2Li1Pb1,-0.103954261249989
Ac2Li1Ru1,-0.009384874583333
Ac2Li1Si1,-0.028731224871793998
Ac2Li1Sn1,0.011481203745418
Ac2Li1Tl1,0.004480592881651001
Ac2Mg1,0.020185377766243
Ac2Mg1Pb1,-0.23734883166666798
Ac2Mg1Sn1,-0.08773956161764801
Ac2Mg1Tl1,-0.032126506666665
Ac2Mg1Yb1,0.017775397096050003
Ac2Na1Pb1,-0.113144307395833
Ac2Na1Sn1,-0.016396154947916002
Ac2O3,-3.7516362854166663
Ac2Pd1Si1,-0.23716358722222206
Ac2S3,-2.5602318376041677
Ac2Si1Zn1,-0.10922567847222099
Ac2Sn1Tl1,-0.285713496666666
Ac2Sn1Zn1,-0.176444343472222
Ac3Ag1,0.21626447416666605
Ac3Au1,0.118394014305555
Ac3Ba1,0.11067492375
Ac3Br1,0.5759164680555531
Ac3Ca1,0.06094225062500001
Ac3Cd1,0.046504997638889004
Ac3Ce1,0.13519489999999998
Ac3Cl1,0.6941917084722331
Ac3Cr1,0.43799598499999903
Ac3Cs1,0.434344349698276
Ac3Dy1,0.054255892500000014
Ac3Er1,0.05911333375
Ac3Eu1,0.06493502249999901
Ac3Hg1,0.07052008138888799
Ac3Ho1,0.07429485624999901
Ac3I1,0.36764720222222097
Ac3In1,-0.01581723986111
Ac3K1,0.3311278805
Ac3La1,0.025152545
Ac3Li1,0.15649386750000002
Ac3Lu1,0.06460711499999901
Ac3Mo1,0.7028327225000001
Ac3Na1,0.183670798749999
Ac3Nb1,0.561346217499999
Ac3Nd1,0.052880015624999006
Ac3Np1,0.4845168553125001
Ac3Pa1,0.4032404999999991
Ac3Pm1,0.053120745624999
Ac3Pr1,0.050414128749999
Ac3Rb1,0.4036579049137921
Ac3Sc1,0.119889895
Ac3Si1,0.102344432638888
Ac3Sm1,0.05980343437500001
Ac3Sn1,-0.31267243374999903
Ac3Sr1,0.080775384999999
Ac3Tb1,0.069195249166666
Ac3Th1,0.15580107375000002
Ac3Ti1,0.3958454708333321
Ac3Tl1,-0.09108673375
Ac3Tm1,0.061503189999999014
Ac3V1,0.4977988725
Ac3Y1,0.046614550000000005
Ac3Yb1,0.026164819999999003
Ac3Zn1,0.146040585972221
Ac3Zr1,0.266200744999999
Ag10Ba9S24U4,-0.030368231914729007
Ag10Br1Cl1Te4,0.008278510703124001
Ag10Br3Te4,-0.011722408568584999
Ag10Cu1O12Pb3,0.01978675423077
Ag10La4Mg3,-0.014326100868939004
Ag10O13Si4,0.053137209999984
Ag10S11Si3,0.008837217109375
Ag11Hg9,0.099854657999999
Ag11K1O16V4,0.009259224135592
Ag12As14Cu29,0.040633441272726
Ag12F29Li17,0.090224667194431
Ag12Ga1Mg7,0.012766433500001999
Ag12H16N4Se22Sn7,-0.047289157322417
Ag13Al36Mg32,0.0354849289961
Ag13As3I4O12,0.006219932812498
Ag13Bi14I56,0.040880538192771
Ag13Bi15I64,0.106689402282609
Ag13Ga5,-0.0005518944444440001
Ag13O18Pb6,0.007007524054053001
Ag13O6Os1,0.018904034750003
Ag15Bi16I64,0.040901018421052
Ag15Bi7I40,0.15228254709677402
Ag15Cl3P4S16,-8.862029231066814e-05
Ag16Al12O48S5Si12,0.104798629014211
Ag16As4Hg1S15,0.001770570208333
Ag16Ca6N1,-0.00951444105979
Ag16Te11Tl2,0.050128393922414013
Ag17In9,0.011236935423788999
Ag17Mg54,-0.003632526373238001
Ag18K4Te11,-0.0028126962878380003
Ag18Te11Tl4,-0.0046935535707069995
Ag19Al24Mg30,0.104705580000004
Ag1Al1,0.01302028
Ag1Al11Mg17,0.026978394882883
Ag1Al11O17,0.023993931551719003
Ag1Al12Mg16,0.026969806099361
Ag1Al1B1,0.914267973155402
Ag1Al1Ba1Cu1O5,0.4613858748315151
Ag1Al1Br6Cs2,0.077582740249998
Ag1Al1Br6K2,0.095574386749994
Ag1Al1Br6Na2,0.191027953749999
Ag1Al1Br6Rb2,0.076910588499999
Ag1Al1Ca2O5,0.10795351550831098
Ag1Al1Cl6Cs2,0.059796919693419014
Ag1Al1Cl6K2,0.061478573749989995
Ag1Al1Cl6Na2,0.15004693224995302
Ag1Al1Cl6Rb2,0.050950727192957006
Ag1Al1Cr4S8,-0.000569228214286
Ag1Al1Cs1F6,-0.005244108151857999
Ag1Al1Cs2F6,-0.053730577586808013
Ag1Al1Cu2O7Sr2,0.11576502682774499
Ag1Al1F4,0.030503448750004
Ag1Al1F6K2,-0.000753511342097
Ag1Al1F6Li2,0.272020832031383
Ag1Al1F6Na2,0.09205180200007002
Ag1Al1F6Rb1,0.006122514734301999
Ag1Al1F6Rb2,-0.041357591385313995
Ag1Al1Li2,-0.038286315441839996
Ag1Al1O2,-0.045154961479925
Ag1Al1O3,0.16424108295835702
Ag1Al1O4Si1,0.031566884762141
Ag1Al1O8Si3,0.020318869615325003
Ag1Al1O8W2,0.11329999583372499
Ag1Al1P2Se6,-0.027113751718783004
Ag1Al1S2,-0.07703122479165901
Ag1Al1Sc2,0.0030651725000000003
Ag1Al1Se2,-0.057463435972227014
Ag1Al1Se4Sn1,-0.000754585000002
Ag1Al1Te2,-0.054435710937495996
Ag1Al1Y2,0.014770211249998999
Ag1Al2Cl5O1,-0.040758263333464995
Ag1Al2Pr1,-0.033504941102942006
Ag1Al3,0.07736021749999901
Ag1Al3Br1Na3O12Si3,-0.0012605023017899998
Ag1Al3Eu2,0.025895214999997997
Ag1Al3Hf2,-0.004751763333333
Ag1Al4In1S8,0.05756944309523901
Ag1Al4In1Se8,0.000418675
Ag1Al4In1Te8,0.015297919642856
Ag1Al5S8,0.031394429166666
Ag1As1,0.22303853749999905
Ag1As1Ba1,-0.14522372188886498
Ag1As1Br6Cs2,-0.019860768499976
Ag1As1Br6K2,0.025198609
Ag1As1Br6Na2,0.143176998999999
Ag1As1Br6Rb2,-3.517450004189017e-05
Ag1As1C4F6N4S8,0.16489878707639602
Ag1As1Ca1,-0.06484840611112098
Ag1As1Ca1O4,-0.007155591188265
Ag1As1Ca1O5,0.078348300333445
Ag1As1Cl6Cs2,0.0073123660001099995
Ag1As1Cl6K2,0.01129118650011
Ag1As1Cl6Na2,0.14150803549994
Ag1As1Cl6Rb2,-0.008137729749824999
Ag1As1Cs2S4,-0.04686894359403201
Ag1As1Eu1,-0.008085316666686
Ag1As1F6,-0.109068314062639
Ag1As1F6K2,0.05282391843643
Ag1As1F6Li2,0.3973032169998279
Ag1As1F6N16O8S16,0.228364388503335
Ag1As1F6N4O2S6,0.140992420139708
Ag1As1F6Na2,0.21580366449998103
Ag1As1F6Rb2,0.025192602998144003
Ag1As1F6S16,-0.34312989542292804
Ag1As1F6Se3,-0.027531443810262998
Ag1As1F7,-0.034210912407447
Ag1As1Fe1N6S4,0.8280003322989671
Ag1As1Hg1O4,0.0031476480952110004
Ag1As1Hg1S3,-0.00101001301916
Ag1As1Hg2O4,-0.029735899583292
