formula,target
Cd1S4Tm2,-0.010212295785730002
C2U1V1,-0.06877298340273401
Be1N1O4P1,0.834602999818817
Ag1Eu2Hg1,0.019172110000000003
Br1S3,0.31619705484374905
Ag3Ca1,0.06361835375000001
O6Se2Sn1,-0.040779864999896005
C4Cd1Cl4H16N2,0.034506074814813
K4O35W11,0.8136401227333141
Bi3Cl1O8Pb1W1,0.042686810000477006
Si1Ta3,-0.019209373125001
K1O12Sb3Zn4,-0.022654704247743
Cs3Mo3O12Pr1,-0.005862953590234
I7N2Na1Pr4,-0.11807474726884801
Ba1Cu1La1O6Ru1,0.051865612833431
Ce4Ge4Li1,0.008603611666666
Nd4O11Re2,-0.040773365833533005
H8Li4Mn1O22P6,0.056630782947098
Ca1I3Tl1,0.016095626999995002
Ce2Fe12P7,-0.042216412857107005
Au4Ca11Cd18,0.011208517272726998
B2C1Eu1Ni2,-0.06223719041668501
Ge1I6Th1,0.057933602812502004
Ba2I7La1,0.025019845499999003
Co1Sn1Ti1,0.06754152534722101
Cu1Mn1O3S1Sr2,0.019407486182489
Co3Ga16Tb4,-0.008192616898058001
Ce3Tm1,0.14911741375
C5Cu1H11N1O6,0.20408760869791295
Li4Mn3Ni3O16V2,0.08219178389962799
Mn3O9Pr1Sr2,0.00236581969654
Bi1Pd1Se1,0.004396273690475
Be3O4Zn1,0.086614880624998
Cu1Gd2Rb1Se4,-0.030047738749936007
B2Ir5Sc2V1,-0.038640176889007005
As1Li1Mn1O4,-0.024716805667052998
Cd1H6O16S4,0.400664533703706
Ho1O1S1,0.016262921882718002
Ba2Ni1O6Te1,-0.078886512747994
In2O6W1,0.012629252361114
C3H6Mn1N3Na1O3S3,0.119753838281496
C1Mo3Ni3,0.04901654571428602
Hg1O3Sr1,0.268915205749996
Se3Sr1Zr1,0.027542084500012002
Cu3Nb1S4,-0.099253335806699
Cr4O13Si4,0.07445606023804101
Gd1O7Sb1Sc1Y1,-0.035402239767595
As6Ca5Sn2,-0.020152190384526
Ho1Li1O8W2,-0.008244024019211
Ba1Mn1O7P2,-0.006066945341879001
B3Cs1Ge1O7,-0.017202288161475
La1Nb2O7Rb2,-0.023659891554024003
Na2Rb1Si17,-0.028176761999998006
Bi3Cl1O8Se2,0.29111787160802005
Ca1Er2S4,-0.006115986905285999
Cu1Gd2Os1,0.004741291875
Mn3O9Pr2Sr1,-0.006543352293524001
Eu1Sn2Zn2,0.03094845581579
Mo1S3Ti1,0.039271134000011004
Cu1Fe3S8Sn2,0.122920403214284
La1Mo4O14Tb3,-0.014556763885397
Cd2Er1Y1,0.012381604651419
P4Re3,-0.038628483649135
Cu4Si4Th1U1,0.006026210969289
Cl4N2Pt1,0.6540655416555561
N9Sc1Ti9,-0.008160557631238
Cr3Li1O8,0.001926487187495
H1In1,0.39086009902333296
Cl6Li1Na2Sm1,0.12975036950031102
Fe2La1P2,-0.08580222799998201
